Sum of Kidnapping and Abduction,Column Labels,,,,,,,,,,,,
Row Labels,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,Grand Total
A & N ISLANDS,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,44,36,54,56,42,24,50,36,38,36,38,22,476
ARUNACHAL PRADESH,0,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,0,8,8,2,50,54,30,40,0,0,0,0,192
BIHAR,16,2,8,12,10,4,20,58,26,40,58,0,254
CHANDIGARH,0,0,0,0,0,0,0,0,0,0,0,0,0
CHHATTISGARH,16,20,14,14,6,2,6,0,0,0,2,6,86
D & N HAVELI,0,0,0,0,0,0,0,2,2,0,0,0,4
DAMAN & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0
DELHI,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,0,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,40,54,36,52,36,46,44,36,68,56,70,64,602
HARYANA,30,32,18,12,30,30,26,64,64,46,36,54,442
HIMACHAL PRADESH,0,2,0,2,0,0,0,0,0,0,0,0,4
JAMMU & KASHMIR,0,0,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,8,6,0,6,2,4,8,10,8,10,22,4,88
KARNATAKA,2,6,4,4,16,8,8,16,12,32,22,10,140
KERALA,0,4,4,0,0,6,2,6,4,4,12,4,46
LAKSHADWEEP,0,0,0,0,0,0,0,0,0,0,0,0,0
MADHYA PRADESH,62,98,66,68,38,74,66,54,104,138,124,128,1020
MAHARASHTRA,10,20,14,18,16,10,26,48,20,50,24,46,302
MANIPUR,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,0,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,0,0,0,0,0,2,0,0,0,0,0,0,2
ODISHA,14,12,16,12,12,14,24,64,66,4,10,22,270
PUDUCHERRY,0,0,0,0,0,0,0,0,0,2,0,0,2
PUNJAB,8,2,2,4,2,2,2,2,4,0,4,4,36
RAJASTHAN,70,54,46,52,36,46,34,72,72,102,60,86,730
SIKKIM,4,0,0,2,0,0,2,4,2,0,2,0,16
TAMIL NADU,32,20,10,4,4,6,6,4,16,0,14,8,124
TRIPURA,0,0,0,0,0,0,2,0,2,0,6,2,12
UTTAR PRADESH,438,260,156,182,198,226,306,438,508,496,726,516,4450
UTTARAKHAND,6,0,8,4,18,2,2,0,4,4,2,4,54
WEST BENGAL,0,0,0,0,0,0,0,0,2,0,0,0,2
Grand Total,800,636,464,506,516,560,664,954,1022,1020,1232,980,9354
