Count of Kidnapping and Abduction,Column Labels,,,,,,,,,,,,
Row Labels,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,Grand Total
A & N ISLANDS,3,3,3,3,3,3,2,3,3,3,3,4,36
ANDHRA PRADESH,29,29,30,30,30,30,30,30,30,34,34,34,370
ARUNACHAL PRADESH,14,14,16,16,16,16,16,16,17,18,18,18,195
ASSAM,28,28,28,28,31,31,31,31,30,31,31,33,361
BIHAR,45,45,44,45,45,45,45,45,45,45,45,45,539
CHANDIGARH,2,2,2,2,2,2,2,2,2,2,2,2,24
CHHATTISGARH,19,20,21,21,22,22,22,22,22,22,23,29,265
D & N HAVELI,2,2,2,2,2,2,2,2,2,2,2,2,24
DAMAN & DIU,3,3,3,3,3,3,3,3,3,3,3,3,36
DELHI,13,14,13,13,13,13,14,18,18,18,18,18,183
GOA,3,3,3,3,3,3,3,3,3,3,3,3,36
GUJARAT,31,31,31,31,31,31,31,32,32,33,35,35,384
HARYANA,21,21,21,21,22,23,23,23,23,23,23,24,268
HIMACHAL PRADESH,14,14,14,14,14,14,14,14,16,16,16,16,176
JAMMU & KASHMIR,24,25,25,25,25,25,25,28,29,30,30,31,322
JHARKHAND,25,25,25,25,25,25,27,27,27,27,27,27,312
KARNATAKA,32,32,32,32,32,32,32,34,34,35,36,36,399
KERALA,17,17,20,20,20,20,20,19,19,19,21,21,233
LAKSHADWEEP,2,2,2,2,2,2,2,2,2,2,2,2,24
MADHYA PRADESH,49,49,52,52,52,52,52,54,54,54,54,54,628
MAHARASHTRA,46,46,46,46,46,46,46,46,46,46,46,46,552
MANIPUR,10,10,10,10,10,10,10,11,11,11,11,11,125
MEGHALAYA,8,8,8,8,8,8,8,8,8,8,8,8,96
MIZORAM,9,9,9,9,9,9,9,9,9,9,9,9,108
NAGALAND,11,11,11,11,12,11,12,12,12,12,12,12,139
ODISHA,35,35,35,35,35,35,35,37,37,37,37,37,430
PUDUCHERRY,2,2,2,2,2,3,3,3,3,3,3,3,31
PUNJAB,25,25,25,25,25,26,26,26,26,27,29,29,314
RAJASTHAN,34,34,34,34,34,39,39,40,40,41,42,43,454
SIKKIM,5,5,5,5,5,5,5,5,5,5,5,5,60
TAMIL NADU,39,38,38,39,38,38,38,39,41,41,40,40,469
TRIPURA,5,5,5,5,5,5,5,5,5,6,6,10,67
UTTAR PRADESH,72,72,72,72,72,72,72,73,73,74,77,77,878
UTTARAKHAND,14,14,14,14,14,14,14,14,14,14,14,14,168
WEST BENGAL,24,26,26,26,26,25,25,25,25,25,26,30,309
Grand Total,715,719,727,729,734,740,743,761,766,779,791,811,9015
