STATE/UT,YEAR,DISTRICT,MURDERS
Andaman & Nicobar Islands,2001,ANDAMAN,13
Andaman & Nicobar Islands,2002,ANDAMAN,14
Andaman & Nicobar Islands,2003,ANDAMAN,16
Andaman & Nicobar Islands,2004,ANDAMAN,13
Andaman & Nicobar Islands,2005,ANDAMAN,14
Andaman & Nicobar Islands,2006,ANDAMAN,3
Andaman & Nicobar Islands,2007,A and N ISLANDS,15
Andaman & Nicobar Islands,2008,ANDAMAN,8
Andaman & Nicobar Islands,2009,ANDAMAN,15
Andaman & Nicobar Islands,2010,ANDAMAN,8
Andaman & Nicobar Islands,2011,ANDAMAN,14
Andaman & Nicobar Islands,2012,SOUTH,8
Andhra Pradesh,2001,RANGA REDDY,214
Andhra Pradesh,2002,RANGA REDDY,214
Andhra Pradesh,2003,GUNTUR,210
Andhra Pradesh,2004,MAHABOOBNAGAR,183
Andhra Pradesh,2005,MAHABOOBNAGAR,212
Andhra Pradesh,2006,CYBERABAD,193
Andhra Pradesh,2007,CYBERABAD,186
Andhra Pradesh,2008,CYBERABAD,197
Andhra Pradesh,2009,CYBERABAD,186
Andhra Pradesh,2010,CYBERABAD,187
Andhra Pradesh,2011,CYBERABAD,213
Andhra Pradesh,2012,CYBERABAD,198
Arunachal Pradesh,2001,LOHIT,16
Arunachal Pradesh,2002,LOHIT,14
Arunachal Pradesh,2003,LOHIT,16
Arunachal Pradesh,2004,LOHIT,10
Arunachal Pradesh,2005,LOHIT,14
Arunachal Pradesh,2006,PAPUM PARE,10
Arunachal Pradesh,2007,LOHIT,17
Arunachal Pradesh,2008,LOHIT,11
Arunachal Pradesh,2009,SIANG WEST,11
Arunachal Pradesh,2010,SIANG WEST,9
Arunachal Pradesh,2011,LOHIT,12
Arunachal Pradesh,2012,LOHIT,11
Assam,2001,DIBRUGARH,110
Assam,2002,TINSUKIA,115
Assam,2003,DIBRUGARH,107
Assam,2004,DIBRUGARH,125
Assam,2005,DIBRUGARH,113
Assam,2006,DIBRUGARH,104
Assam,2007,TINSUKIA,143
Assam,2008,TINSUKIA,114
Assam,2009,SONITPUR,109
Assam,2010,TINSUKIA,96
Assam,2011,TINSUKIA,98
Assam,2012,KOKRAJHAR,110
Bihar,2001,PATNA,434
Bihar,2002,PATNA,472
